symbol,count,percent
A,72,5.950413223140496
B,0,0.0
C,60,4.958677685950414
D,61,5.041322314049586
E,77,6.363636363636363
F,36,2.975206611570248
G,85,7.024793388429752
H,31,2.56198347107438
I,69,5.702479338842975
J,0,0.0
K,66,5.454545454545454
L,111,9.173553719008265
M,25,2.0661157024793386
N,66,5.454545454545454
O,0,0.0
P,75,6.198347107438017
Q,49,4.049586776859504
R,60,4.958677685950414
S,84,6.9421487603305785
T,64,5.289256198347108
U,0,0.0
V,70,5.785123966942149
W,13,1.0743801652892562
X,0,0.0
Y,36,2.975206611570248
Z,0,0.0
