symbol,count,percent
A,79,9.427207637231504
B,0,0.0
C,15,1.7899761336515514
D,25,2.983293556085919
E,48,5.727923627684964
F,38,4.534606205250597
G,53,6.324582338902148
H,27,3.2219570405727924
I,53,6.324582338902148
J,0,0.0
K,19,2.2673031026252985
L,122,14.558472553699284
M,22,2.6252983293556085
N,21,2.5059665871121717
O,0,0.0
P,36,4.2959427207637235
Q,27,3.2219570405727924
R,51,6.085918854415274
S,64,7.637231503579952
T,38,4.534606205250597
U,0,0.0
V,67,7.995226730310263
W,17,2.028639618138425
X,0,0.0
Y,16,1.909307875894988
Z,0,0.0
